"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 09:29:32 GMT 2023","Mon Aug 07 09:29:32 GMT 2023","104","","pytest","","src.tests.test_all.TestOne","","test_two",""
"failed","Mon Aug 07 09:29:32 GMT 2023","Mon Aug 07 09:29:32 GMT 2023","118","","pytest","","src.tests.test_all.TestOne","","test_one",""
