"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 12:02:14 GMT 2023","Tue Aug 08 12:02:14 GMT 2023","123","","pytest","","src.tests.test_all.TestOne","","test_two",""
"failed","Tue Aug 08 12:02:14 GMT 2023","Tue Aug 08 12:02:14 GMT 2023","136","","pytest","","src.tests.test_all.TestOne","","test_one",""
