"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 11:57:15 GMT 2023","Tue Aug 08 11:57:15 GMT 2023","157","","pytest","","src.tests.test_all.TestOne","","test_two",""
"failed","Tue Aug 08 11:57:15 GMT 2023","Tue Aug 08 11:57:15 GMT 2023","164","","pytest","","src.tests.test_all.TestOne","","test_one",""
