"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 08 11:51:46 GMT 2023","Tue Aug 08 11:51:46 GMT 2023","154","","pytest","","src.tests.test_all.TestOne","","test_one",""
"passed","Tue Aug 08 11:51:46 GMT 2023","Tue Aug 08 11:51:46 GMT 2023","137","","pytest","","src.tests.test_all.TestOne","","test_two",""
