"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 12:03:02 GMT 2023","Tue Aug 08 12:03:03 GMT 2023","112","","pytest","","src.tests.test_all.TestOne","","test_one",""
"passed","Tue Aug 08 12:03:02 GMT 2023","Tue Aug 08 12:03:03 GMT 2023","117","","pytest","","src.tests.test_all.TestOne","","test_two",""
