"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 08:25:10 GMT 2023","Mon Aug 07 08:25:10 GMT 2023","194","","pytest","","src.tests.test_all.TestOne","","test_one",""
"passed","Mon Aug 07 08:25:10 GMT 2023","Mon Aug 07 08:25:10 GMT 2023","126","","pytest","","src.tests.test_all.TestOne","","test_two",""
