"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 08:45:29 GMT 2023","Mon Aug 07 08:45:29 GMT 2023","137","","pytest","","src.tests.test_all.TestOne","","test_two",""
"failed","Mon Aug 07 08:45:29 GMT 2023","Mon Aug 07 08:45:29 GMT 2023","195","","pytest","","src.tests.test_all.TestOne","","test_one",""
